what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1587314447350
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1587314447350
java.vm.specification.version,sysinfo,,,"1.0",1587314447350
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1587314447350
java.vm.version,sysinfo,,,"16.3-b01",1587314447350
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1587314461579
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1587314461584
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1587314461596
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1587314461642
opened,view,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui.HelpView",1587314461719
activated,view,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui.HelpView",1587314461798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.helpSearch",1587314461926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314483090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314513520
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1587314531086
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1587314531177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314531260
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1587314538392
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1587314538448
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1587314540075
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1587314540474
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1587314540500
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1587314540571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314540680
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1587314540793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314546009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1587314555196
